baseline-local:
Threads | Channel | Node 0 Read | Node 0 Write | Node 1 Read | Node 1 Write | Total Iters | Total Time | Time/Iter |
      1 |       0 |      10.236 |        8.580 |     774.268 |        3.042 |         --- |        --- |       --- |
      1 |       1 |       8.089 |        6.463 |     774.062 |        3.053 |         --- |        --- |       --- |
      1 |       2 |       1.934 |        0.226 |     780.642 |        9.639 |         --- |        --- |       --- |
      1 |       3 |       7.077 |        5.419 |     773.925 |        2.983 |         --- |        --- |       --- |
      1 |  TOTAL  |      27.336 |       20.687 |    3102.896 |       18.717 |         140 |   1014.613 |      7.25 |

      2 |       0 |       4.041 |        1.399 |    1511.179 |        9.929 |         --- |        --- |       --- |
      2 |       1 |       5.947 |        3.022 |    1504.569 |        3.602 |         --- |        --- |       --- |
      2 |       2 |      11.648 |        8.787 |    1504.735 |        3.693 |         --- |        --- |       --- |
      2 |       3 |      11.453 |        8.566 |    1504.214 |        3.296 |         --- |        --- |       --- |
      2 |  TOTAL  |      33.088 |       21.773 |    6024.697 |       20.520 |         270 |   1005.331 |      3.72 |

      4 |       0 |      11.773 |        6.911 |    2845.149 |        4.837 |         --- |        --- |       --- |
      4 |       1 |       5.956 |        0.762 |    2847.454 |        7.372 |         --- |        --- |       --- |
      4 |       2 |      11.244 |        6.039 |    2850.563 |       10.209 |         --- |        --- |       --- |
      4 |       3 |      13.897 |        8.726 |    2845.212 |        4.749 |         --- |        --- |       --- |
      4 |  TOTAL  |      42.871 |       22.437 |   11388.379 |       27.166 |         509 |   1002.807 |      1.97 |

      6 |       0 |      16.196 |        9.402 |    4234.926 |       10.756 |         --- |        --- |       --- |
      6 |       1 |      12.111 |        5.197 |    4235.477 |       10.887 |         --- |        --- |       --- |
      6 |       2 |       7.941 |        0.836 |    4233.954 |        7.750 |         --- |        --- |       --- |
      6 |       3 |      14.343 |        7.472 |    4231.972 |        7.121 |         --- |        --- |       --- |
      6 |  TOTAL  |      50.592 |       22.906 |   16936.329 |       36.514 |         759 |   1003.176 |      1.32 |

      8 |       0 |      22.038 |       12.449 |    3607.307 |        8.559 |         --- |        --- |       --- |
      8 |       1 |      16.594 |        7.872 |    3615.446 |       16.239 |         --- |        --- |       --- |
      8 |       2 |      11.161 |        1.838 |    3609.282 |        8.938 |         --- |        --- |       --- |
      8 |       3 |      14.476 |        6.046 |    3606.623 |        8.003 |         --- |        --- |       --- |
