# tracer: nop
#
# entries-in-buffer/entries-written: 11636/11636   #P:12
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
           <...>-8196  [001] .... 155298.198151: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [002] d... 155298.198242: tlb_flush: pages:-1 reason:flush on task switch (0)
           <...>-52041 [002] .... 155298.198925: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [010] d... 155298.198989: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [002] d... 155298.199542: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 155298.199601: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 155298.199611: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 155298.199662: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 155298.208577: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 155298.208665: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 155298.208701: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-8197  [011] .... 155298.208755: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-8197  [011] .... 155298.209118: tlb_flush: pages:2 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.209120: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [011] d... 155298.209212: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 155298.209347: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [006] d... 155298.209454: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [006] d... 155298.209572: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 155298.209662: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 155298.210180: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 155298.210241: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 155298.210467: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 155298.210549: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 155298.210946: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 155298.211064: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 155298.211586: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 155298.211854: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 155298.212199: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 155298.212496: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 155298.213231: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-8197  [011] .... 155298.213360: tlb_flush: pages:4 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.213385: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.213402: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.214204: tlb_flush: pages:7 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.214220: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.214253: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.214268: tlb_flush: pages:21 reason:local mm shootdown (3)
          <idle>-0     [011] d... 155298.214440: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 155298.214929: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 155298.215028: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 155298.215514: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 155298.215841: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 155298.216156: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 155298.216171: tlb_flush: pages:-1 reason:flush on task switch (0)
    tmux: server-7041  [009] .... 155298.216374: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.216376: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.216427: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [009] d... 155298.216511: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-8197  [011] .... 155298.216929: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [009] d... 155298.217046: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 155298.217169: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 155298.217207: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 155298.217286: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 155298.217346: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 155298.217455: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-8197  [011] .... 155298.217512: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.217529: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.217542: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.217554: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.217567: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.217579: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.217591: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.217605: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.217618: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.217630: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.217642: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.217655: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.217667: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.217679: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.217691: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.217711: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.217723: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.217735: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.217747: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.217759: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.217771: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.217782: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.217808: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.217821: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.217833: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.217846: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.217858: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.217871: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.217884: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.217897: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.217909: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.217921: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.217934: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.217946: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.217957: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.217969: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.217980: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.217992: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218003: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-8197  [011] .... 155298.218015: tlb_flush: pages:1 reason:local mm shootdown (3)
