# tracer: nop
#
# entries-in-buffer/entries-written: 8533/8533   #P:12
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
              sh-838   [011] .... 140115.400699: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 140115.400779: tlb_flush: pages:-1 reason:flush on task switch (0)
           <...>-52041 [010] .... 140115.401304: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [001] d... 140115.401371: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 140115.401903: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [002] d... 140115.401943: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 140115.401954: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [002] d... 140115.402010: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 140115.402063: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 140115.402195: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 140115.402263: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-839   [004] .... 140115.402339: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-839   [004] .... 140115.402660: tlb_flush: pages:2 reason:local mm shootdown (3)
    pcm-memory.x-839   [004] .... 140115.402662: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [004] d... 140115.402760: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 140115.402885: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [002] d... 140115.403021: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 140115.403594: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 140115.403595: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [002] d... 140115.403659: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 140115.403710: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 140115.403751: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 140115.403842: tlb_flush: pages:-1 reason:flush on task switch (0)
