# tracer: nop
#
# entries-in-buffer/entries-written: 11415/11415   #P:12
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
              sh-3325  [008] .... 144837.064828: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 144837.064920: tlb_flush: pages:-1 reason:flush on task switch (0)
           <...>-52041 [009] .... 144837.065406: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [001] d... 144837.065471: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d... 144837.066004: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [002] d... 144837.066049: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d... 144837.066058: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [002] d... 144837.066112: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 144837.079865: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d... 144837.079954: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 144837.080045: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-3326  [004] .... 144837.080105: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-3326  [004] .... 144837.080429: tlb_flush: pages:2 reason:local mm shootdown (3)
    pcm-memory.x-3326  [004] .... 144837.080431: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [005] d... 144837.080866: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 144837.080886: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 144837.080975: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 144837.081286: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 144837.081316: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 144837.091603: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 144837.091716: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 144837.100797: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 144837.100921: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 144837.101413: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 144837.101577: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 144837.112985: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 144837.113730: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 144837.113828: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-3326  [005] .... 144837.113896: tlb_flush: pages:4 reason:local mm shootdown (3)
    pcm-memory.x-3326  [005] .... 144837.113910: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3326  [005] .... 144837.113922: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [005] d... 144837.114028: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 144837.114114: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 144837.114352: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 144837.114466: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-3326  [005] .... 144837.114535: tlb_flush: pages:7 reason:local mm shootdown (3)
    pcm-memory.x-3326  [005] .... 144837.114544: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3326  [005] .... 144837.114560: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3326  [005] .... 144837.114568: tlb_flush: pages:21 reason:local mm shootdown (3)
          <idle>-0     [005] d... 144837.114655: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 144837.124370: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 144837.124430: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 144837.125144: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 144837.125335: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 144837.125370: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 144837.125461: tlb_flush: pages:-1 reason:flush on task switch (0)
    tmux: server-7041  [004] .... 144837.125571: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3326  [005] .... 144837.125587: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3326  [005] .... 144837.125621: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [004] d... 144837.125656: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-3326  [005] .... 144837.125901: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [004] d... 144837.125982: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d... 144837.126091: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 144837.126136: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [005] d... 144837.126190: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d... 144837.126201: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d... 144837.126228: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 144837.126323: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d... 144837.126359: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-3326  [011] .... 144837.126439: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3326  [011] .... 144837.126455: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3326  [011] .... 144837.126467: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3326  [011] .... 144837.126478: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3326  [011] .... 144837.126489: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3326  [011] .... 144837.126500: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3326  [011] .... 144837.126512: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3326  [011] .... 144837.126522: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3326  [011] .... 144837.126534: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3326  [011] .... 144837.126545: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3326  [011] .... 144837.126556: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3326  [011] .... 144837.126568: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3326  [011] .... 144837.126579: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3326  [011] .... 144837.126590: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3326  [011] .... 144837.126602: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3326  [011] .... 144837.126614: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3326  [011] .... 144837.126625: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3326  [011] .... 144837.126636: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3326  [011] .... 144837.126648: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3326  [011] .... 144837.126658: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3326  [011] .... 144837.126669: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3326  [011] .... 144837.126680: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3326  [011] .... 144837.126690: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3326  [011] .... 144837.126701: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3326  [011] .... 144837.126712: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3326  [011] .... 144837.126725: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3326  [011] .... 144837.126737: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3326  [011] .... 144837.126748: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3326  [011] .... 144837.126759: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3326  [011] .... 144837.126771: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3326  [011] .... 144837.126782: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3326  [011] .... 144837.126793: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3326  [011] .... 144837.126805: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3326  [011] .... 144837.126816: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3326  [011] .... 144837.126827: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3326  [011] .... 144837.126838: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3326  [011] .... 144837.126848: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3326  [011] .... 144837.126859: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3326  [011] .... 144837.126869: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3326  [011] .... 144837.126880: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3326  [011] .... 144837.126891: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3326  [011] .... 144837.126901: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3326  [011] .... 144837.126912: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3326  [011] .... 144837.126924: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3326  [011] .... 144837.126934: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3326  [011] .... 144837.126946: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3326  [011] .... 144837.126957: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3326  [011] .... 144837.126968: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3326  [011] .... 144837.126978: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-3326  [011] .... 144837.126989: tlb_flush: pages:1 reason:local mm shootdown (3)
