# tracer: nop
#
# entries-in-buffer/entries-written: 27230/27230   #P:12
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
              sh-7363  [005] ....  1669.088171: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d...  1669.088259: tlb_flush: pages:-1 reason:flush on task switch (0)
          exp.py-7285  [000] ....  1669.088801: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [007] d...  1669.088864: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [000] d...  1669.089072: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d...  1669.089129: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [008] d...  1669.089139: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-7364  [008] ....  1669.089590: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-7364  [008] ....  1669.089887: tlb_flush: pages:2 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.089889: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [009] d...  1669.090571: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [009] d...  1669.090815: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-7364  [008] ....  1669.093944: tlb_flush: pages:4 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.093959: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.093971: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.094813: tlb_flush: pages:7 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.094830: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.094879: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.094894: tlb_flush: pages:21 reason:local mm shootdown (3)
          <idle>-0     [006] d...  1669.096120: tlb_flush: pages:-1 reason:flush on task switch (0)
    tmux: server-7041  [006] ....  1669.096320: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.096350: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7364  [008] ....  1669.096384: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [006] d...  1669.096419: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d...  1669.096422: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d...  1669.096498: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-7364  [008] ....  1669.096964: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [006] d...  1669.096987: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d...  1669.097064: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d...  1669.097095: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [007] d...  1669.097107: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [006] d...  1669.097122: tlb_flush: pages:-1 reason:flush on task switch (0)
