# tracer: nop
#
# entries-in-buffer/entries-written: 30289/30289   #P:12
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
           <...>-7517  [009] ....  1930.145496: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d...  1930.145580: tlb_flush: pages:-1 reason:flush on task switch (0)
          exp.py-7285  [010] ....  1930.146002: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [001] d...  1930.146068: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d...  1930.146612: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d...  1930.146676: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [001] d...  1930.146681: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-7518  [011] ....  1930.147137: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-7518  [011] ....  1930.147403: tlb_flush: pages:2 reason:local mm shootdown (3)
    pcm-memory.x-7518  [011] ....  1930.147405: tlb_flush: pages:-1 reason:local mm shootdown (3)
          <idle>-0     [010] d...  1930.148037: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [010] d...  1930.148283: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d...  1930.151591: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d...  1930.152148: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d...  1930.152568: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d...  1930.160104: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d...  1930.160536: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d...  1930.160708: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d...  1930.160793: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d...  1930.165190: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d...  1930.165407: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d...  1930.165907: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-7518  [011] ....  1930.165987: tlb_flush: pages:4 reason:local mm shootdown (3)
    pcm-memory.x-7518  [011] ....  1930.166002: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [011] ....  1930.166013: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [011] d...  1930.166137: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d...  1930.166247: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d...  1930.166525: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d...  1930.166590: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-7518  [011] ....  1930.166667: tlb_flush: pages:7 reason:local mm shootdown (3)
    pcm-memory.x-7518  [011] ....  1930.166678: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [011] ....  1930.166694: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [011] ....  1930.166701: tlb_flush: pages:21 reason:local mm shootdown (3)
          <idle>-0     [011] d...  1930.166786: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d...  1930.175738: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d...  1930.175795: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d...  1930.182896: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d...  1930.183068: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [006] d...  1930.183106: tlb_flush: pages:-1 reason:flush on task switch (0)
    tmux: server-7041  [006] ....  1930.183235: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [006] d...  1930.183272: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d...  1930.183286: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [006] d...  1930.183309: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [006] d...  1930.183380: tlb_flush: pages:-1 reason:flush on task switch (0)
    pcm-memory.x-7518  [011] ....  1930.183417: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [011] ....  1930.183452: tlb_flush: pages:1 reason:local mm shootdown (3)
    pcm-memory.x-7518  [011] ....  1930.183730: tlb_flush: pages:1 reason:local mm shootdown (3)
          <idle>-0     [006] d...  1930.183802: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [006] d...  1930.183886: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [006] d...  1930.183906: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [006] d...  1930.183968: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [003] d...  1930.184018: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [011] d...  1930.184056: tlb_flush: pages:-1 reason:flush on task switch (0)
          <idle>-0     [004] d...  1930.184091: tlb_flush: pages:-1 reason:flush on task switch (0)
